CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 
Done!2.51 s

Number of sentences: 9450
Number of features:  1017940
Number of thread(s): 56
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=59 terr=0.18638 serr=0.74497 act=1017940 obj=61530.12879 diff=0.00169
iter=60 terr=0.18359 serr=0.73884 act=1017940 obj=61125.34982 diff=0.00658
iter=61 terr=0.18396 serr=0.73905 act=1017940 obj=61004.68093 diff=0.00197
iter=62 terr=0.83777 serr=0.89407 act=1017940 obj=143846.06174 diff=1.35795
iter=63 terr=0.18384 serr=0.73894 act=1017940 obj=60790.18753 diff=0.57739
iter=64 terr=0.18320 serr=0.73767 act=1017940 obj=60044.57269 diff=0.01227
iter=65 terr=0.18252 serr=0.73725 act=1017940 obj=59636.92329 diff=0.00679
iter=66 terr=0.18045 serr=0.73545 act=1017940 obj=59064.92624 diff=0.00959
iter=67 terr=0.17973 serr=0.73365 act=1017940 obj=59101.14083 diff=0.00061
iter=68 terr=0.17995 serr=0.73587 act=1017940 obj=58874.32511 diff=0.00384
iter=69 terr=0.17821 serr=0.73503 act=1017940 obj=58545.86710 diff=0.00558
iter=70 terr=0.17757 serr=0.73513 act=1017940 obj=58331.36221 diff=0.00366
iter=71 terr=0.17668 serr=0.73386 act=1017940 obj=58003.49924 diff=0.00562
iter=72 terr=0.17508 serr=0.73407 act=1017940 obj=57684.09125 diff=0.00551
iter=73 terr=0.18587 serr=0.74402 act=1017940 obj=58690.59155 diff=0.01745
iter=74 terr=0.17561 serr=0.73577 act=1017940 obj=57491.47664 diff=0.02043
iter=75 terr=0.17410 serr=0.73619 act=1017940 obj=57159.24355 diff=0.00578
iter=76 terr=0.17319 serr=0.73767 act=1017940 obj=56788.58471 diff=0.00648
iter=77 terr=0.17291 serr=0.73852 act=1017940 obj=56344.51635 diff=0.00782
iter=78 terr=0.17627 serr=0.74349 act=1017940 obj=56055.81163 diff=0.00512
iter=79 terr=0.17344 serr=0.73630 act=1017940 obj=55669.56056 diff=0.00689
iter=80 terr=0.17335 serr=0.73471 act=1017940 obj=55554.78261 diff=0.00206
iter=81 terr=0.17292 serr=0.73407 act=1017940 obj=55425.35827 diff=0.00233
iter=82 terr=0.17059 serr=0.73122 act=1017940 obj=54951.22124 diff=0.00855
iter=83 terr=0.17018 serr=0.72899 act=1017940 obj=55456.12097 diff=0.00919
iter=84 terr=0.17021 serr=0.73048 act=1017940 obj=54823.66728 diff=0.01140
iter=85 terr=0.16884 serr=0.73069 act=1017940 obj=54526.63046 diff=0.00542
iter=86 terr=0.16758 serr=0.72974 act=1017940 obj=54366.03395 diff=0.00295
iter=87 terr=0.16725 serr=0.73016 act=1017940 obj=54165.01499 diff=0.00370
iter=88 terr=0.16680 serr=0.72688 act=1017940 obj=53661.69350 diff=0.00929
iter=89 terr=0.16659 serr=0.72698 act=1017940 obj=53380.73695 diff=0.00524
iter=90 terr=0.16694 serr=0.72497 act=1017940 obj=53178.10182 diff=0.00380
iter=91 terr=0.16665 serr=0.72434 act=1017940 obj=53044.49811 diff=0.00251
iter=92 terr=0.16534 serr=0.72032 act=1017940 obj=52668.13392 diff=0.00710
iter=93 terr=0.16399 serr=0.71852 act=1017940 obj=52358.60115 diff=0.00588
iter=94 terr=0.16482 serr=0.72317 act=1017940 obj=52711.44779 diff=0.00674
iter=95 terr=0.16304 serr=0.71926 act=1017940 obj=52224.75884 diff=0.00923
iter=96 terr=0.16204 serr=0.71566 act=1017940 obj=52018.50405 diff=0.00395
iter=97 terr=0.16088 serr=0.71661 act=1017940 obj=51861.01394 diff=0.00303
iter=98 terr=0.16046 serr=0.71577 act=1017940 obj=51424.52626 diff=0.00842
iter=99 terr=0.16222 serr=0.71799 act=1017940 obj=50730.97962 diff=0.01349
iter=100 terr=0.16191 serr=0.71640 act=1017940 obj=50233.92783 diff=0.00980
iter=101 terr=0.16074 serr=0.71556 act=1017940 obj=50060.69477 diff=0.00345
iter=102 terr=0.16052 serr=0.71397 act=1017940 obj=49910.79049 diff=0.00299
iter=103 terr=0.15902 serr=0.71312 act=1017940 obj=49669.02539 diff=0.00484
iter=104 terr=0.15833 serr=0.71217 act=1017940 obj=49463.56953 diff=0.00414
iter=105 terr=0.15705 serr=0.71005 act=1017940 obj=49124.49383 diff=0.00686
iter=106 terr=0.15609 serr=0.70720 act=1017940 obj=48799.56675 diff=0.00661
iter=107 terr=0.15477 serr=0.70476 act=1017940 obj=48319.24248 diff=0.00984
iter=108 terr=0.15456 serr=0.70190 act=1017940 obj=48272.32128 diff=0.00097
iter=109 terr=0.15399 serr=0.70254 act=1017940 obj=48123.98408 diff=0.00307
iter=110 terr=0.15245 serr=0.70159 act=1017940 obj=47927.06591 diff=0.00409
iter=111 terr=0.16215 serr=0.71132 act=1017940 obj=48280.12002 diff=0.00737
iter=112 terr=0.15475 serr=0.70275 act=1017940 obj=47861.99961 diff=0.00866
iter=113 terr=0.15385 serr=0.70233 act=1017940 obj=47786.01778 diff=0.00159
iter=114 terr=0.15402 serr=0.70328 act=1017940 obj=47742.79623 diff=0.00090
iter=115 terr=0.15327 serr=0.70180 act=1017940 obj=47584.23497 diff=0.00332
iter=116 terr=0.15279 serr=0.70286 act=1017940 obj=47352.21204 diff=0.00488
iter=117 terr=0.15227 serr=0.70180 act=1017940 obj=47173.06193 diff=0.00378
iter=118 terr=0.15400 serr=0.70381 act=1017940 obj=47006.64595 diff=0.00353
iter=119 terr=0.15237 serr=0.70021 act=1017940 obj=46800.03235 diff=0.00440
iter=120 terr=0.14966 serr=0.69598 act=1017940 obj=46539.37933 diff=0.00557
iter=121 terr=0.14826 serr=0.69312 act=1017940 obj=46315.22819 diff=0.00482
iter=122 terr=0.14835 serr=0.69460 act=1017940 obj=46079.89889 diff=0.00508
iter=123 terr=0.14589 serr=0.69418 act=1017940 obj=45826.16516 diff=0.00551
iter=124 terr=0.14870 serr=0.69630 act=1017940 obj=45629.72249 diff=0.00429
iter=125 terr=0.14736 serr=0.69513 act=1017940 obj=45436.28857 diff=0.00424
iter=126 terr=0.14320 serr=0.68995 act=1017940 obj=45061.46248 diff=0.00825
iter=127 terr=0.14277 serr=0.68910 act=1017940 obj=44935.46414 diff=0.00280
iter=128 terr=0.14145 serr=0.68540 act=1017940 obj=44611.96704 diff=0.00720
iter=129 terr=0.14404 serr=0.68476 act=1017940 obj=44482.54204 diff=0.00290
iter=130 terr=0.13777 serr=0.68063 act=1017940 obj=44184.79406 diff=0.00669
iter=131 terr=0.13935 serr=0.68317 act=1017940 obj=44045.71759 diff=0.00315
iter=132 terr=0.14046 serr=0.68243 act=1017940 obj=43979.18947 diff=0.00151
iter=133 terr=0.14133 serr=0.68423 act=1017940 obj=43880.19998 diff=0.00225
iter=134 terr=0.13985 serr=0.68296 act=1017940 obj=43564.39059 diff=0.00720
iter=135 terr=0.14060 serr=0.68392 act=1017940 obj=43238.34062 diff=0.00748
iter=136 terr=0.13515 serr=0.67937 act=1017940 obj=43031.70599 diff=0.00478
iter=137 terr=0.13452 serr=0.67788 act=1017940 obj=42930.18935 diff=0.00236
iter=138 terr=0.13342 serr=0.67513 act=1017940 obj=42836.29527 diff=0.00219
iter=139 terr=0.13372 serr=0.67566 act=1017940 obj=42735.42121 diff=0.00235
iter=140 terr=0.13278 serr=0.67228 act=1017940 obj=42449.08540 diff=0.00670
iter=141 terr=0.13052 serr=0.66847 act=1017940 obj=42124.99461 diff=0.00763
iter=142 terr=0.13890 serr=0.66656 act=1017940 obj=43447.22257 diff=0.03139
iter=143 terr=0.12869 serr=0.66635 act=1017940 obj=42010.80652 diff=0.03306
iter=144 terr=0.13125 serr=0.66847 act=1017940 obj=41735.20689 diff=0.00656
iter=145 terr=0.12584 serr=0.66307 act=1017940 obj=41597.96868 diff=0.00329
iter=146 terr=0.12729 serr=0.66529 act=1017940 obj=41536.49839 diff=0.00148
iter=147 terr=0.12780 serr=0.66550 act=1017940 obj=41476.77509 diff=0.00144
iter=148 terr=0.12772 serr=0.66317 act=1017940 obj=41259.48112 diff=0.00524
iter=149 terr=0.12816 serr=0.66053 act=1017940 obj=40948.45124 diff=0.00754
iter=150 terr=0.11874 serr=0.65196 act=1017940 obj=41499.68850 diff=0.01346
iter=151 terr=0.12420 serr=0.65693 act=1017940 obj=40830.88003 diff=0.01612
iter=152 terr=0.12370 serr=0.65397 act=1017940 obj=40693.25710 diff=0.00337
iter=153 terr=0.12061 serr=0.64836 act=1017940 obj=40569.55006 diff=0.00304
iter=154 terr=0.11979 serr=0.64698 act=1017940 obj=40401.27605 diff=0.00415
iter=155 terr=0.11714 serr=0.64381 act=1017940 obj=39893.61308 diff=0.01257
iter=156 terr=0.11724 serr=0.64402 act=1017940 obj=39535.89014 diff=0.00897
iter=157 terr=0.11563 serr=0.64159 act=1017940 obj=39358.08047 diff=0.00450
iter=158 terr=0.11832 serr=0.64561 act=1017940 obj=39263.21852 diff=0.00241
iter=159 terr=0.11618 serr=0.64360 act=1017940 obj=39177.59797 diff=0.00218
iter=160 terr=0.11535 serr=0.64275 act=1017940 obj=39142.54090 diff=0.00089
iter=161 terr=0.11495 serr=0.64127 act=1017940 obj=39108.32796 diff=0.00087
iter=162 terr=0.11501 serr=0.63947 act=1017940 obj=38947.24245 diff=0.00412
iter=163 terr=0.12244 serr=0.64635 act=1017940 obj=39507.77292 diff=0.01439
iter=164 terr=0.11629 serr=0.64000 act=1017940 obj=38853.75402 diff=0.01655
iter=165 terr=0.11574 serr=0.64011 act=1017940 obj=38728.45553 diff=0.00322
iter=166 terr=0.11353 serr=0.63566 act=1017940 obj=38471.98932 diff=0.00662
iter=167 terr=0.12365 serr=0.64921 act=1017940 obj=38873.30826 diff=0.01043
iter=168 terr=0.11579 serr=0.63841 act=1017940 obj=38391.25824 diff=0.01240
iter=169 terr=0.11276 serr=0.63312 act=1017940 obj=38249.59108 diff=0.00369
iter=170 terr=0.11130 serr=0.63090 act=1017940 obj=38132.39517 diff=0.00306
iter=171 terr=0.10838 serr=0.62571 act=1017940 obj=38006.80848 diff=0.00329
iter=172 terr=0.10876 serr=0.62339 act=1017940 obj=37923.23238 diff=0.00220
iter=173 terr=0.10937 serr=0.62413 act=1017940 obj=37873.86265 diff=0.00130
iter=174 terr=0.10986 serr=0.62487 act=1017940 obj=37697.88798 diff=0.00465
iter=175 terr=0.11212 serr=0.62762 act=1017940 obj=37542.88885 diff=0.00411
iter=176 terr=0.10930 serr=0.62317 act=1017940 obj=37293.53883 diff=0.00664
iter=177 terr=0.10637 serr=0.61905 act=1017940 obj=37086.45984 diff=0.00555
